,pl_orbper,pl_rade,pl_tranmid,pl_trandep,st_teff,st_rad,st_logg,ra,dec,target
8481,45.035589512,82.4,2454965.633531,404840.0,6484.0,1.153,4.386,285.47278,46.69873,0
8482,4.237447181,2.26,2454968.17679,350.1,5993.0,0.993,4.425,291.90216,47.96207,1
8483,4.0953585,7.76,2454968.7884,226.8,6839.0,1.7,4.094,293.66928,47.906689,1
8484,0.92623983,1.16,2454964.7203,411.4,4494.0,0.591,4.692,297.20752,47.972099,1
8485,3.10197712,2.64,2454966.78902,124.6,8709.0,1.797,4.232,298.57156,47.963951,0
8486,2.618414643,109.33,2454967.044367,200860.0,8143.0,2.361,3.96,299.05673,47.909359,0
8487,2.61844178,2.16,2454967.03782,45.1,5088.0,3.293,3.502,299.07559,47.92078,0
8488,19.407958161,44.96,2454968.3915368,142060.0,5702.0,0.799,4.485,282.60107,48.03669,0
8489,0.933747375,8.93,2454964.5199,198.9,6224.0,1.024,4.454,292.32864,48.021519,0
8490,37.910213899,29.45,2454995.458419,103470.0,4623.0,0.56,4.686,287.05927,50.214031,0
8491,3.74785307,9.04,2454967.17465,145.9,4929.0,7.7,3.001,291.04498,50.282261,0
8492,3.747835042,141.7,2454967.1877331,188920.0,8529.0,3.065,3.769,291.0614,50.25544,0
8493,0.94754848,224.79,2454965.266431,11348.0,3246.0,0.2,5.087,294.01917,50.216606,0
8494,1.75643185,0.58,2454965.0575,51.6,5696.0,0.812,4.57,295.94925,50.20892,0
8495,1.756466865,87.4,2454965.030299,188220.0,5726.0,1.465,4.077,296.00742,50.232609,0
8496,33.159475806,146.47,2454992.8126411,222170.0,7967.0,2.379,4.001,296.46429,50.286152,0
8497,46.14869106,114.2,2455006.238091,349630.0,5383.0,1.935,3.908,289.39417,50.368069,0
8498,60.2976774,63.57,2454994.854691,315890.0,5995.0,0.977,4.434,293.48035,50.347488,0
8499,0.875197345,0.73,2454964.8135915,0.0,5855.0,1.796,3.999,297.47586,41.114288,1
8500,13.2298203,1.5,2454967.3757,157.8,6049.0,1.176,4.353,292.7131,38.358212,1
8501,3.71840884,0.84,2454967.6575,77.2,5982.0,0.96,4.493,287.44409,38.088428,1
8502,1.703347524,47.62,2454965.4680448,504410.0,5325.0,0.648,4.657,293.09494,38.361252,0
8503,1.70332915,0.86,2454965.47294,98.5,5749.0,0.864,4.547,293.10568,38.37434,0
8504,20.413812,16.5,2454981.5092,496.4,5514.0,0.826,4.569,293.90091,38.308689,0
8505,5.32737192,0.7,2454966.27114,107.7,4905.0,0.679,4.593,294.34146,38.340519,1
8506,67.41958542,49.46,2454966.431122,182170.0,6071.0,0.962,4.425,294.43991,38.38084,0
8507,7.363572395,82.22,2454971.70442,129700.0,6793.0,1.508,4.208,294.66467,38.333,0
8508,5.90260586,1.26,2454969.35507,337.7,4960.0,0.707,4.627,294.87888,38.397812,1
8509,33.693201537,68.86,2454991.866724,508770.0,5427.0,0.899,4.448,285.33658,38.45052,0
8510,22.80265,2.36,2454965.9476,53.1,5011.0,3.324,3.321,285.64093,38.418732,1
8511,1.120997701,66.58,2454964.48486,145.6,6720.0,4.845,3.373,294.93198,39.81242,0
8512,1.874967748,378.99,2454965.701553,31526.0,4588.0,18.328,2.232,294.93637,39.852482,0
8513,29.9315174,1.58,2454968.0082,353.0,5551.0,0.809,4.57,295.52618,39.806839,1
8514,0.602277579,0.78,2454964.5303,34.6,6510.0,1.228,4.256,296.32202,39.856049,1
8515,2.40440112,0.42,2454966.1975,27.1,5433.0,0.769,4.55,297.1174,39.859112,0
8516,21.926779,1.26,2454968.5453,198.6,5853.0,0.868,4.544,297.32239,39.87299,0
8517,25.706001174,67.11,2454989.644215,464960.0,5642.0,0.903,4.498,297.98264,39.894081,0
8518,27.2173855,1.34,2454977.6728,155.9,6263.0,1.019,4.404,290.31134,39.98069,1
8519,501.90703,1.83,2455038.619,306.9,6316.0,1.036,4.413,290.76251,39.910648,0
8520,6.27651592,0.65,2454969.18032,166.0,3914.0,0.515,4.748,289.15955,40.51181,1
8521,3.115304946,61.66,2454966.1240488,149520.0,6367.0,1.087,4.419,290.95132,40.54797,0
8522,16.214474,3.53,2454969.435,161.7,6801.0,2.637,3.833,296.56232,40.590939,1
8523,12.422524,0.86,2454974.875,33.9,7225.0,1.414,4.281,297.59485,40.512299,0
8524,12.4269264,1.66,2454974.4499,126.6,5349.0,1.505,4.044,297.63452,40.52652,0
8525,12.4261809,1.88,2454974.5307,92.2,5948.0,1.432,4.106,297.64059,40.531952,0
8526,0.61810542,39.52,2454964.74488,12264.0,5371.0,0.949,4.403,298.21118,40.512501,0
8527,1.06995136,0.9,2454965.30469,54.8,5869.0,1.221,4.274,298.40009,40.58567,0
8528,2.158398259,101.02,2454964.894054,93038.0,5210.0,1.946,3.778,283.0451,41.860062,0
8529,359.534371,64333.8,2455051.68613,5732.0,5087.0,5.899,3.183,283.25659,41.80315,0
8530,0.9951412,0.22,2454964.5268,101.7,3325.0,0.109,5.364,284.2399,41.819042,1
